tscr_a,tscr_b,tscr_r,tlr_a,tlr_b,tlr_r,Vinflux,Vdam,Vtag,Vrep,dil_rh,dil_rd,dil_rt,dil_rma,dil_rmb,dil_rmr,dil_rtca,dil_rtcb,dil_rtcr,deg_rd,deg_rma,deg_rmb,deg_rmr
0.0,0.0,0.0,5.0,13.0,0.0,61320.0,53952.0,14.0,216.0,7601.0,49980.0,175.0,0.0,0.0,0.0,6.0,14.0,1.0,3580.0,1.0,1.0,0.0
1.0,0.0,0.0,15.0,19.0,0.0,61127.0,53655.0,0.0,5.0,7492.0,50151.0,59.0,0.0,0.0,0.0,16.0,20.0,1.0,3428.0,2.0,1.0,0.0
0.0,2.0,0.0,8.0,73.0,0.0,61371.0,54296.0,14.0,276.0,7380.0,50222.0,179.0,0.0,0.0,0.0,9.0,161.0,1.0,3605.0,1.0,3.0,1.0
1.0,1.0,0.0,48.0,24.0,0.0,60887.0,54682.0,98.0,1399.0,7621.0,48634.0,1151.0,0.0,0.0,0.0,168.0,36.0,1.0,3580.0,1.0,2.0,0.0
1.0,1.0,0.0,32.0,29.0,0.0,61241.0,56648.0,339.0,3039.0,8086.0,49273.0,783.0,0.0,0.0,0.0,33.0,33.0,1.0,3447.0,2.0,1.0,1.0
2.0,5.0,2.0,13.0,31.0,10.0,61410.0,55843.0,181.0,1704.0,7788.0,50258.0,146.0,0.0,1.0,0.0,320.0,472.0,11.0,3512.0,3.0,4.0,3.0
1.0,3.0,0.0,19.0,20.0,3.0,61323.0,56200.0,340.0,2625.0,8070.0,49862.0,362.0,0.0,2.0,0.0,20.0,486.0,4.0,3553.0,2.0,2.0,0.0
2.0,2.0,0.0,63.0,19.0,1.0,61472.0,54625.0,451.0,679.0,7774.0,50082.0,491.0,0.0,0.0,0.0,157.0,403.0,2.0,3552.0,3.0,3.0,0.0
0.0,0.0,0.0,4.0,1.0,0.0,61106.0,54218.0,25.0,667.0,7633.0,49850.0,89.0,0.0,0.0,0.0,5.0,2.0,1.0,3569.0,1.0,1.0,0.0
0.0,2.0,0.0,4.0,8.0,1.0,60790.0,55039.0,156.0,1750.0,7663.0,49564.0,332.0,0.0,0.0,0.0,5.0,15.0,2.0,3462.0,1.0,3.0,0.0
2.0,5.0,1.0,49.0,39.0,4.0,61418.0,59347.0,574.0,5627.0,8616.0,48335.0,1580.0,0.0,2.0,0.0,392.0,305.0,5.0,3464.0,2.0,3.0,2.0
1.0,2.0,0.0,9.0,2.0,0.0,61283.0,54447.0,44.0,480.0,7539.0,49960.0,274.0,0.0,1.0,1.0,42.0,4.0,1.0,3565.0,2.0,2.0,0.0
0.0,2.0,1.0,46.0,9.0,1.0,61167.0,55391.0,459.0,1985.0,8780.0,48564.0,1386.0,0.0,1.0,1.0,47.0,729.0,2.0,3414.0,0.0,2.0,0.0
0.0,0.0,0.0,39.0,8.0,0.0,61519.0,60438.0,532.0,7267.0,8622.0,48705.0,1302.0,0.0,0.0,0.0,40.0,9.0,1.0,3406.0,0.0,1.0,0.0
2.0,1.0,0.0,14.0,0.0,1.0,60918.0,53966.0,285.0,688.0,7853.0,49415.0,448.0,0.0,0.0,0.0,22.0,184.0,2.0,3600.0,3.0,2.0,0.0
