Time (hours),"0nM, WT","250nM, WT","0nM, nA","250nM, nA","0nM, nA_A","250nM, nA_A","0nM, nB","250nM, nB","0nM, nB_B","250nM, nB_B","0nM, nB_Bmut","250nM, nB_Bmut","0nM, nR","250nM, nR","0nM, nR_R","250nM, nR_R","0nM, WT std","250nM, WT std","0nM, nA std","250nM, nA std","0nM, nA_A std","250nM, nA_A std","0nM, nB std","250nM, nB std","0nM, nB_B std","250nM, nB_B std","0nM, nB_Bmut std","250nM, nB_Bmut std","0nM, nR std","250nM, nR std","0nM, nR_R std","250nM, nR_R std"
7.95,2.0016666666666665,1.3699999999999999,1.4283333333333335,1.5013333333333334,1.2543333333333333,1.5013333333333334,1.2903333333333333,1.5513333333333332,1.4969999999999999,1.3046666666666666,1.1496666666666666,1.2389999999999999,1.7535,1.1515,1.6985000000000001,1.1985000000000001,0.20018574707839054,0.15208878985645186,0.10225621415509839,0.694631077143352,0.09084235429211057,0.694631077143352,0.15332427509475907,0.32332233658275666,0.2467123831509071,0.053966038703367296,0.07854510381515416,0.11784735890124985,0.054447222151364126,0.21849599538664322,0.15768481220460015,0.023334523779156166
8.283333333333333,2.0156666666666667,1.406,1.5826666666666664,0.9980000000000001,1.2736666666666665,0.9980000000000001,1.209666666666667,1.4773333333333334,1.487,1.3339999999999999,1.297,1.3659999999999999,1.8035,1.2065000000000001,1.8555000000000001,1.281,0.1768963915215155,0.2196428919860599,0.19976569608752484,0.030265491900843138,0.10464384039843597,0.030265491900843138,0.051858782605585,0.4667486832689871,0.2731281750387536,0.058591808301161,0.21064899714928623,0.030049958402633404,0.01626345596729053,0.16899852070358493,0.12374368670764585,0.008485281374238578
8.616666666666667,1.9803333333333333,1.3453333333333333,1.3376666666666666,0.9803333333333333,1.3686666666666667,0.9803333333333333,1.2886666666666666,1.115,1.5796666666666666,1.3836666666666666,1.407,1.2383333333333333,1.7635,1.4035,1.7614999999999998,1.383,0.22498073991640566,0.20568503429596754,0.13280562237094243,0.04128357219685981,0.03636390151418482,0.04128357219685981,0.08775724091682306,0.043508619835614167,0.2229671126721009,0.10048548817283694,0.4818848410149463,0.23644097219672683,0.05727564927611032,0.05727564927611032,0.1619274528917193,0.04101219330881964
8.95,2.058,1.3113333333333335,1.2543333333333333,1.101,1.391,1.101,1.2363333333333333,1.336,1.5306666666666668,1.3800000000000001,1.2063333333333335,1.5083333333333335,1.891,1.5514999999999999,1.9660000000000002,1.562,0.21474636201807945,0.21811541287431596,0.10885923632532665,0.21053028285735997,0.045398237851264664,0.21053028285735997,0.031005375877955876,0.2061358775177188,0.3173426119091688,0.08088881257627661,0.036295086903509896,0.016041612554021194,0.0014142135623730963,0.04737615433949865,0.10323759005323603,0.04242640687119289
9.283333333333333,2.037,1.392666666666667,1.3333333333333333,1.006,1.4483333333333333,1.006,1.248,1.228,1.59,1.444,1.217,1.5893333333333333,1.875,1.571,1.9815,1.561,0.1821976948262518,0.29967037446723577,0.11001060554934383,0.026057628441590736,0.12239417197454024,0.026057628441590736,0.03278719262150996,0.23698945124203308,0.3034023730955313,0.13777155003846045,0.08095060222135475,0.016196707484341866,0.021213203435596288,0.016970562748477157,0.09687362902255686,0.029698484809835023
9.616666666666667,1.7133333333333332,1.2870000000000001,1.195,1.005,1.3056666666666665,1.005,1.2626666666666666,1.1733333333333336,1.4486666666666668,1.3699999999999999,1.2043333333333333,1.393,1.6825,1.539,1.8845,1.5495,0.3598573791564282,0.04687216658103184,0.018193405398660236,0.020784609690826482,0.058688442928172276,0.020784609690826482,0.03385754470326121,0.11153624224140483,0.1458023776669411,0.028513154858766477,0.013316656236958796,0.1879601021493657,0.08838834764831845,0.04242640687119289,0.15627059864222706,0.01767766952966378
9.95,2.0726666666666667,1.5626666666666666,1.5046666666666664,1.0266666666666666,1.5173333333333332,1.0266666666666666,1.325,1.353,1.7906666666666666,1.4916666666666665,1.2413333333333334,1.5746666666666667,1.901,1.642,2.0700000000000003,1.638,0.19951023365565326,0.26690322840560277,0.10828819572480346,0.00896288643983248,0.23150017998553124,0.00896288643983248,0.03487119154832542,0.2076367019580113,0.1785842471589623,0.1589853242703028,0.014571661996262896,0.010016652800877884,0.005656854249492385,0.0028284271247461927,0.05374011537017766,0.007071067811865481
10.283333333333333,1.984,1.5353333333333332,1.471,1.0250000000000001,1.547,1.0250000000000001,1.3303333333333331,1.3513333333333335,1.7836666666666667,1.494,1.2656666666666665,1.601,1.982,1.708,2.1475,1.706,0.2017027515925353,0.29778235900290223,0.10531381675734677,0.03700000000000003,0.2367044570767522,0.03700000000000003,0.05559076661940656,0.2699895059689049,0.24309737418025174,0.17493713156445656,0.027392213005402358,0.016522711641858347,0.016970562748477157,0.014142135623730963,0.0869741340859455,0.012727922061357868
10.616666666666667,2.076,1.641,1.6366666666666667,1.0996666666666666,1.859,1.0996666666666666,1.3960000000000001,1.4589999999999999,1.8953333333333333,1.5623333333333334,1.3010000000000002,1.5670000000000002,2.0095,1.7725,2.2125,1.766,0.16555361669259916,0.30311548954152767,0.08051293891874359,0.02079262689833424,0.22592697935394954,0.02079262689833424,0.0727461339178928,0.2617708921939183,0.18305281569354068,0.18153328436772506,0.01100000000000001,0.06907242575731645,0.02050609665440982,0.026162950903902204,0.08131727983645312,0.008485281374238578
10.95,2.050333333333333,1.606,1.718,1.0716666666666665,1.6296666666666664,1.0716666666666665,1.5056666666666665,1.4763333333333335,1.9486666666666668,1.564,1.3393333333333333,1.5606666666666669,1.8525,1.7265000000000001,1.979,1.731,0.22811035341109206,0.3068533851858245,0.12474373731775068,0.02695057204092951,0.19337097334743228,0.02695057204092951,0.09178416711684723,0.21718732314141478,0.11628126819627196,0.14574978559160906,0.026274195198584795,0.05749202843293441,0.18596908345206192,0.024748737341529107,0.19798989873223347,0.01131370849898477
