t,atp
2.8256307e7,0.0
2.8261307e7,0.0
2.8266307e7,0.0
2.8271307e7,0.0
2.8276307e7,0.0
2.8281307e7,0.0
2.8286307e7,0.0
2.8291307e7,0.0
2.8296307e7,0.0
2.8301307e7,0.0
2.8306307e7,0.0
2.8311307e7,0.0
2.8316307e7,0.0
2.8321307e7,0.0
2.8326307e7,0.0
2.8331307e7,0.0
2.8336307e7,0.0
2.8341307e7,0.0
2.8346307e7,0.0
2.8351307e7,0.0
2.8356307e7,0.0
2.8361307e7,0.0
2.8366307e7,0.0
2.8371307e7,0.0
2.8376307e7,0.0
2.8381307e7,0.0
2.8386307e7,0.0
2.8391307e7,0.0
2.8396307e7,0.0
2.8401307e7,0.0
2.8406307e7,0.0
2.8411307e7,0.0
2.8416307e7,0.0
2.8421307e7,0.0
2.8426307e7,0.0
2.8431307e7,0.0
2.8436307e7,0.0
2.8441307e7,0.0
2.8446307e7,0.0
2.8451307e7,0.0
2.8456307e7,0.0
2.8461307e7,0.0
2.8466307e7,0.0
2.8471307e7,0.0
2.8476307e7,0.0
2.8481307e7,0.0
2.8486307e7,0.0
2.8491307e7,0.0
2.8496307e7,0.0
2.8501307e7,0.0
2.8506307e7,0.0
2.8511307e7,0.0
2.8516307e7,0.0
2.8521307e7,0.0
2.8526307e7,0.0
2.8531307e7,0.0
2.8536307e7,0.0
2.8541307e7,0.0
2.8546307e7,0.0
2.8551307e7,0.0
2.8556307e7,0.0
2.8561307e7,0.0
2.8566307e7,0.0
2.8571307e7,0.0
2.8576307e7,0.0
2.8581307e7,0.0
2.8586307e7,0.0
2.8591307e7,0.0
2.8596307e7,0.0
2.8601307e7,0.0
2.8606307e7,0.0
2.8611307e7,0.0
2.8616307e7,0.0
2.8621307e7,0.0
2.8626307e7,0.0
2.8631307e7,0.0
2.8636307e7,0.0
2.8641307e7,0.0
2.8646307e7,0.0
2.8651307e7,0.0
2.8656307e7,0.0
2.8661307e7,0.0
2.8666307e7,0.0
2.8671307e7,0.0
2.8676307e7,0.0
2.8681307e7,0.0
2.8686307e7,0.0
2.8691307e7,0.0
2.8696307e7,0.0
2.8701307e7,0.0
2.8706307e7,0.0
2.8711307e7,0.0
2.8716307e7,0.0
2.8721307e7,0.0
2.8726307e7,0.0
2.8731307e7,0.0
2.8736307e7,0.0
2.8741307e7,0.0
2.8746307e7,0.0
2.8751307e7,0.0
2.8756307e7,0.0
2.8761307e7,0.0
2.8766307e7,0.0
2.8771307e7,0.0
2.8776307e7,0.0
2.8781307e7,0.0
2.8786307e7,0.0
2.8791307e7,0.0
2.8796307e7,0.0
2.8801307e7,0.0
2.8806307e7,0.0
2.8811307e7,0.0
2.8816307e7,0.0
2.8821307e7,0.0
2.8826307e7,0.0
2.8831307e7,0.0
2.8836307e7,0.0
2.8841307e7,0.0
2.8846307e7,0.0
2.8851307e7,0.0
2.8856307e7,0.0
2.8861307e7,0.0
2.8866307e7,0.0
2.8871307e7,0.0
2.8876307e7,0.0
2.8881307e7,0.0
2.8886307e7,0.0
2.8891307e7,0.0
2.8896307e7,0.0
2.8901307e7,0.0
2.8906307e7,0.0
2.8911307e7,0.0
2.8916307e7,0.0
2.8921307e7,0.0
2.8926307e7,0.0
2.8931307e7,0.0
2.8936307e7,0.0
2.8941307e7,0.0
2.8946307e7,0.0
2.8951307e7,0.0
2.8956307e7,0.0
2.8961307e7,0.0
2.8966307e7,0.0
2.8971307e7,0.0
2.8976307e7,0.0
2.8981307e7,0.0
2.8986307e7,0.0
2.8991307e7,0.0
2.8996307e7,0.0
2.9001307e7,0.0
2.9006307e7,0.0
