gr,atp,time
1.0438239787206756e-5,19.593346525839742,24.577399399281127
1.0387984101314032e-5,19.585751520599807,24.813348569579784
1.033121670688931e-5,19.5777250451545,25.08385550193373
1.026757647986402e-5,19.56908622833395,25.3919327868106
1.0196692436010897e-5,19.559563866192896,25.740892783642337
1.0118067165551719e-5,19.54877626738573,26.134994799521905
1.0031136942416294e-5,19.536230097620987,26.579263173315624
9.935236855909717e-6,19.52129914543751,27.07979736589964
9.82962077701803e-6,19.50320287634695,27.643843628234418
9.806140692429773e-6,19.49891554121424,27.771087945956634
9.746250572193024e-6,19.487512459011604,28.09873216418509
9.680966534290609e-6,19.47428087558708,28.460998452807424
9.663598587960766e-6,19.47061447540806,28.558284074596294
9.620637439426765e-6,19.46127307858366,28.80058964372108
9.566413045072535e-6,19.44891568309446,29.10983642732048
9.49268939857356e-6,19.43106656989133,29.536508610334206
9.402435118395684e-6,19.407511612143324,30.06883634780846
9.292824111583834e-6,19.376286088806264,30.730567728345605
9.16459540836772e-6,19.33597142870999,31.52673284163396
9.016392654905038e-6,19.284104642365673,32.47795209995763
8.847982078390624e-6,19.218071185642952,33.60165182478798
8.658236580707542e-6,19.13436416539644,34.92611354887929
8.446250048992095e-6,19.028911889828546,36.48526621182998
8.210601861277524e-6,18.896702307386967,38.326916857856716
8.15681194355373e-6,18.864305252481497,38.76464038672072
7.98701449371284e-6,18.75665695487334,40.192080830323334
7.82542554621278e-6,18.6467049330026,41.61952127392595
7.778650356368403e-6,18.613532378375602,42.04617685900607
7.634459650151659e-6,18.50755658178827,43.402052891184084
7.46956721851485e-6,18.379689015316174,45.033391171056564
7.24469038398477e-6,18.194520341413934,47.41362065607133
6.978743076491004e-6,17.961268691791606,50.497069091365226
6.646405682112251e-6,17.653163358128054,54.85262968857965
6.1995019976495735e-6,17.228648068556456,61.90302635551931
5.837558413355394e-6,16.908587554114686,69.11407841630943
5.478375968265358e-6,16.678544435195246,78.56260398601208
5.410173590055395e-6,16.65623521342209,80.77450140980513
5.214913875013278e-6,16.6710939220069,88.39141858802786
5.074486254163029e-6,16.8287065590334,96.0083357662506
4.963179274107755e-6,17.26000148483048,106.04373518965184
4.929773333536528e-6,18.03973427073393,116.9690551650635
5.0010915533633615e-6,19.36766954326113,129.29512880739543
5.213613040780602e-6,21.404307002319037,142.22564861941117
5.615891102419943e-6,24.4378179382116,155.4826667083922
5.724975403102909e-6,25.197458463221196,158.1340703261884
6.1374515914531325e-6,27.95762181743826,166.32274705985142
6.501712155032902e-6,30.2992884193303,171.94027597000908
7.1417319090967195e-6,34.287491008183586,179.6237935277838
8.00598447625728e-6,39.514529966680826,187.3073110855585
9.21632591352406e-6,46.64346647805234,195.08917323504576
1.0946398987514512e-5,56.577486407666896,202.87103538453303
1.3525183218315155e-5,71.00103752013221,210.6528975340203
1.3658301100349246e-5,71.73450250896157,210.96417201999978
1.3947976183462336e-5,73.33017842573648,211.64575734900473
1.464667329204568e-5,77.16324198794798,213.18556199592598
1.4795064993931096e-5,77.9745596121434,213.4949609697352
1.5168469213901538e-5,80.01202497909765,214.2485600716298
1.5664067835169964e-5,82.70752706396065,215.1973378729219
1.5805294412152415e-5,83.47388962038765,215.45771887510892
1.6137227912155967e-5,85.27221708308396,216.05416587877622
1.6215287919257575e-5,85.69464941618193,216.19293520653937
1.623662607019453e-5,85.810208943823,216.23254068944033
1.6242504897984317e-5,85.84212449394744,216.24466909654163
1.6244407969656605e-5,85.85249479926331,216.24918749616273
1.6245793106779007e-5,85.86048310350257,216.25914821057134
1.6244262469322568e-5,85.85247239441756,216.2604879586289
1.6243323160415027e-5,85.84752599265566,216.26083962665007
1.6239950441837068e-5,85.82971923324067,216.2613646928633
1.6238902841069337e-5,85.82418251219646,216.2614307548051
1.6237156436733376e-5,85.81495027323786,216.26149887682237
